"kernel","gsize","device","input_bytes","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer","#device"
"npb-3.3-CG-makea_4","19000","NvidiaA100","228008","152000","13.58223872","0.1741222876904303","epyc7","13.75636100769043","13.75636100769043","1"
"npb-3.3-CG-makea_5","1000","NvidiaA100","12008","4000","0.12197376","0.1393961836187744","epyc7","0.2613699436187744","0.2613699436187744","1"
"npb-3.3-CG-makea_5","3000","NvidiaA100","36008","12000","0.57347072","0.1458059466412354","epyc7","0.7192766666412354","0.7192766666412354","1"
"npb-3.3-CG-makea_5","5000","NvidiaA100","60008","20000","1.05521664","0.1479054989770508","epyc7","1.2031221389770508","1.2031221389770508","1"
"npb-3.3-CG-makea_5","7000","NvidiaA100","84008","28000","1.3301708799999998","0.148863543828125","epyc7","1.479034423828125","1.4790344238281248","1"
"npb-3.3-CG-makea_5","9000","NvidiaA100","108008","36000","1.92774656","0.151718829251709","epyc7","2.079465389251709","2.079465389251709","1"
"npb-3.3-CG-makea_5","11000","NvidiaA100","132008","44000","2.57920512","0.1552342530163575","epyc7","2.7344393730163574","2.7344393730163574","1"
"npb-3.3-CG-makea_5","13000","NvidiaA100","156008","52000","3.36507392","0.1595311157818605","epyc7","3.5246050357818604","3.5246050357818604","1"
"npb-3.3-CG-makea_5","15000","NvidiaA100","180008","60000","3.98729216","0.1638637886389162","epyc7","4.151155948638916","4.151155948638916","1"
"npb-3.3-CG-makea_5","17000","NvidiaA100","204008","68000","4.70060032","0.1700945557171632","epyc7","4.870694875717163","4.870694875717164","1"
"npb-3.3-CG-makea_5","19000","NvidiaA100","228008","76000","5.46742784","0.1724304058496096","epyc7","5.639858245849609","5.639858245849609","1"
"npb-3.3-CG-makea_6","1000","NvidiaA100","16008","12000","0.2037862399999999","0.1775583168084716","epyc7","0.3813445568084717","0.3813445568084714","1"
"npb-3.3-CG-makea_6","3000","NvidiaA100","48008","36000","0.97739264","0.1646347380822754","epyc7","1.1420273780822754","1.1420273780822754","1"
"npb-3.3-CG-makea_6","5000","NvidiaA100","80008","60000","1.29964544","0.1616220313134766","epyc7","1.4612674713134766","1.4612674713134766","1"
"npb-3.3-CG-makea_6","7000","NvidiaA100","112008","84000","2.30542848","0.1663725625567628","epyc7","2.4718010425567627","2.4718010425567627","1"
"npb-3.3-CG-makea_6","9000","NvidiaA100","144008","108000","2.783616","0.1767953101959229","epyc7","2.960411310195923","2.960411310195923","1"
"npb-3.3-CG-makea_6","11000","NvidiaA100","176008","132000","4.15048704","0.1825918212365724","epyc7","4.333078861236572","4.333078861236572","1"
"npb-3.3-CG-makea_6","13000","NvidiaA100","208008","156000","5.070848","0.1901607394714357","epyc7","5.261008739471436","5.261008739471436","1"
"npb-3.3-CG-makea_6","15000","NvidiaA100","240008","180000","5.7842688","0.1933606231414797","epyc7","5.97762942314148","5.97762942314148","1"
"npb-3.3-CG-makea_6","17000","NvidiaA100","272008","204000","8.05847552","0.2008578521160892","epyc7","8.259333372116089","8.259333372116089","1"
"npb-3.3-CG-makea_6","19000","NvidiaA100","304008","228000","8.81746432","0.209352763358765","epyc7","9.026817083358765","9.026817083358765","1"
"npb-3.3-CG-makea_7","1000","NvidiaA100","8008","4000","0.0070912","0.1219373587310791","epyc7","0.1290285587310791","0.1290285587310791","1"
"npb-3.3-CG-makea_7","3000","NvidiaA100","24008","12000","0.00895488","0.1311339166156006","epyc7","0.1400887966156005","0.1400887966156005","1"
"npb-3.3-CG-makea_7","5000","NvidiaA100","40008","20000","0.00883712","0.1325355606640625","epyc7","0.1413726806640625","0.1413726806640625","1"
"npb-3.3-CG-makea_7","7000","NvidiaA100","56008","28000","0.00877056","0.1340219033026123","epyc7","0.1427924633026123","0.1427924633026123","1"
"npb-3.3-CG-makea_7","9000","NvidiaA100","72008","36000","0.00890368","0.1371062420275879","epyc7","0.1460099220275879","0.1460099220275879","1"
"npb-3.3-CG-makea_7","11000","NvidiaA100","88008","44000","0.00788992","0.133568591352539","epyc7","0.141458511352539","0.141458511352539","1"
"npb-3.3-CG-makea_7","13000","NvidiaA100","104008","52000","0.00784384","0.1322318435937499","epyc7","0.14007568359375","0.1400756835937499","1"
"npb-3.3-CG-makea_7","15000","NvidiaA100","120008","60000","0.00924672","0.1391795743267822","epyc7","0.1484262943267822","0.1484262943267822","1"
"npb-3.3-CG-makea_7","17000","NvidiaA100","136008","68000","0.00850432","0.1400936357037353","epyc7","0.1485979557037353","0.1485979557037353","1"
"npb-3.3-CG-makea_7","19000","NvidiaA100","152008","76000","0.00795136","0.139155287491455","epyc7","0.147106647491455","0.147106647491455","1"
